num_equip;date_debut_panne_min;date_fin_panne_max
Asc. 161;08/02/2025;13/03/2025
Asc. 162;30/12/2024;08/01/2025
Asc. 171;30/01/2025;27/04/2025
Asc. 182;04/02/2025;31/03/2025
Asc. 191;31/12/2024;24/01/2025
Asc. 202;08/01/2025;10/01/2025
Asc. 212;12/02/2025;25/03/2025
Asc. 213;21/01/2025;23/01/2025
Asc. 221;30/03/2025;31/03/2025
Asc. 242;22/03/2025;08/04/2025
Asc. 251;09/01/2025;31/03/2025
Asc. 252;13/02/2025;17/02/2025
Asc. 261;19/03/2025;30/04/2025
Asc. 263;28/01/2025;03/02/2025
Asc. 264;31/01/2025;03/02/2025
Asc. 271;02/03/2025;04/03/2025
Asc. 412;21/01/2025;23/01/2025
Asc. 422;13/02/2025;13/03/2025
Asc. 431;28/10/2024;28/02/2025
Asc. 432 ;10/02/2025;20/03/2025
Asc. 443;17/01/2025;19/01/2025
Asc. 443 ;12/02/2025;16/02/2025
Asc. 461;01/02/2025;19/02/2025
Asc. 462;20/02/2025;30/04/2025
Asc. 471;03/03/2025;06/03/2025
Asc. 472;31/12/2024;28/01/2025
Asc. 501;07/02/2025;20/02/2025
Asc. 513;21/02/2025;03/03/2025
Asc. 571;21/01/2025;01/02/2025
Asc. 572 ;16/01/2025;30/01/2025
Asc. 711;25/03/2025;31/03/2025
Asc. 741;08/02/2025;24/03/2025
Asc. 743;13/02/2025;17/02/2025
Asc. 751;25/03/2025;31/03/2025
Asc. 752;01/01/2025;30/01/2025
Asc. 761;31/01/2025;11/02/2025
Asc. 792;30/12/2024;03/01/2025
Asc. 821;02/01/2025;08/03/2025
Asc. 822;12/03/2025;06/04/2025
Asc. 841;11/01/2025;12/01/2025
Asc. 842;11/02/2025;18/02/2025
Asc. 911;21/01/2025;24/01/2025
Asc. 923;12/03/2025;02/04/2025
Asc. 961;11/03/2025;30/04/2025
Asc. 971;11/01/2025;27/01/2025
Asc.461;20/01/2025;24/01/2025
Esc 2603;06/02/2025;31/03/2025
Esc 7301;25/02/2025;15/05/2025
Esc 7901;23/02/2025;05/03/2025
Esc. 1601;29/03/2025;31/03/2025
Esc. 1901;24/03/2025;25/03/2025
Esc. 2101;13/01/2025;23/02/2025
Esc. 2302;02/02/2025;31/03/2025
Esc. 2601;11/02/2025;31/03/2025
Esc. 2603;06/02/2025;30/04/2025
Esc. 2605;05/02/2025;07/02/2025
Esc. 2606;11/02/2025;31/03/2025
Esc. 2607;10/12/2024;28/02/2025
Esc. 2608;06/02/2025;31/03/2025
Esc. 2610;12/03/2025;13/03/2025
Esc. 2612;22/01/2025;26/01/2025
Esc. 2702;08/03/2025;23/01/2025
Esc. 4201;03/03/2025;12/03/2025
Esc. 4205;09/01/2025;31/03/2025
Esc. 4208 ;12/02/2025;17/02/2025
Esc. 4210;27/03/2025;09/01/2025
Esc. 4302;21/03/2025;24/03/2025
Esc. 4410;03/02/2025;06/02/2025
Esc. 4501;20/03/2025;13/04/2025
Esc. 4502;18/09/2024;08/01/2025
Esc. 4601;29/08/2024;27/03/2025
Esc. 4602;13/10/2024;15/03/2025
Esc. 4701;21/01/2025;30/05/2025
Esc. 4702;12/11/2024;30/04/2025
Esc. 4802;23/10/2024;30/04/2025
Esc. 4803;09/03/2025;30/03/2025
Esc. 5107;10/01/2025;21/01/2025
Esc. 5204;17/01/2025;22/01/2025
Esc. 5702;04/02/2025;31/03/2025
Esc. 7001;21/01/2025;31/03/2025
Esc. 7002;03/02/2025;11/03/2025
Esc. 7003;09/12/2024;27/02/2025
Esc. 7101;23/01/2025;31/03/2025
Esc. 7201;13/12/2024;10/02/2025
Esc. 7302;11/12/2024;15/05/2025
Esc. 7401;16/12/2024;30/01/2025
Esc. 7402;12/12/2024;30/05/2025
Esc. 7406;06/09/2024;03/04/2025
Esc. 7501;16/12/2024;23/01/2025
Esc. 7502;13/01/2025;30/03/2025
Esc. 7601;17/12/2024;28/01/2025
Esc. 7602;17/12/2024;31/03/2025
Esc. 7701;05/02/2025;31/03/2025
Esc. 7702;30/10/2024;31/05/2025
Esc. 7703;16/12/2024;09/01/2025
Esc. 7704;09/12/2024;28/02/2025
Esc. 7901;14/01/2025;17/02/2025
Esc. 7902;12/12/2024;16/02/2025
Esc. 7903;25/03/2025;10/04/2025
Esc. 7904;25/03/2025;13/04/2025
Esc. 8107;30/12/2023;31/03/2025
Esc. 8201;17/01/2025;20/01/2025
Esc. 8203;05/02/2025;31/03/2025
Esc. 8205;12/12/2024;23/02/2025
Esc. 8205 ;21/03/2025;10/05/2025
Esc. 8301;12/02/2025;15/02/2025
Esc. 8302;05/02/2025;31/03/2025
Esc. 9701;07/03/2025;18/02/2025
Esc.7502;13/01/2025;30/05/2025
